show_id,type,title,country,release_year,rating,listed_in,description,country_1,country_2,country_3,country_4,country_5,country_count,listed_in_1,listed_in_2,listed_in_3,listed_in_4,typeyears
s822,TV Show,Take Us Home: Leeds United,United Kingdom,2020,16+,TV Shows,"Following last season’s heartbreak, Leeds United embark on a new season with renewed hope of reaching the Premier League. Marcelo Bielsa’s side face Manchester United in Australia and with a revamped squad, Leeds look to set the pace in the Championship. But as Covid-19 arrives in the UK, will Bielsa’s players even get the chance to take the club home, to the promised land?",United Kingdom,,,,,1,TV Shows,,,,TV Show2020
s849,Movie,Super Size Me 2: Holy Chicken!,United States,2019,PG-13,"Comedy, Documentary, Special Interest",Muckraking filmmaker Morgan Spurlock reignites his battle with the food industry - this time with Big Chicken - as he opens his own fast food restaurant.,United States,,,,,1,Comedy,Documentary,Special Interest,,Movie2019
s850,Movie,Super Size Me,United States,2004,PG-13,Special Interest,"Winner at Sundance, director Morgan Spurlock's social experiment in fast-food gastronomy sees him attempting to subsist uniquely on food from the McDonald's menu for an entire month. In the process his weight balloons, his energy level plummets and he experiences all sorts of unexpected – and terrifying – side effects.",United States,,,,,1,Special Interest,,,,Movie2004
s860,Movie,Sunshine Hotel,United States,2002,13+,"Documentary, Special Interest","[Remastered 2017] As seen on Sundance Channel. A journey into the last ""flophouse"" on New York City's infamous skidrow, The Bowery. Filmmaker Michael Dominic takes his camera behind the doors of the Sunshine Hotel, one of the few remaining affordable refuges for the destitute and out of luck, a world that has seemingly stood still for more than eight decades.",United States,,,,,1,Documentary,Special Interest,,,Movie2002
s873,Movie,Student of the Year 2,India,2019,13+,"Drama, International","Rohan (Tiger Shroff) is a student, athlete from a mediocre Pishorilal Chamandas College. He dreams of becoming the Student of the Year one day. His life takes a turn, when he gets accepted to St. Teresa College, encounters his rival Manav & has the beautiful Shreya and Mia who begin to fall for him. Their life gets tangled through competition, failure, manipulation and heartbreaks.",India,,,,,1,Drama,International,,,Movie2019
s893,Movie,Stick Man,United Kingdom,2015,ALL,"Adventure, Animation, Kids","A half-hour animation based on the much-loved children's picture book by Julia Donaldson and Axel Scheffler. Stick Man tells the tale of a happy-go-lucky father's epic adventure across the seasons as he runs from a playful dog, gets thrown in a river, escapes from a swan's nest and even ends up on top of a fire. Will he get back to his family in time for Christmas?",United Kingdom,,,,,1,Adventure,Animation,Kids,,Movie2015
s937,Movie,Sonu Ke Titu Ki Sweety,India,2018,13+,"Comedy, International","Sonu and Titu are childhood friends. Titu has always been a naive lover, who falls in love easily and Sonu has always had to step in to save him. But Sweety is the perfect bride and Titu is head over heels in love with her. Sonu's instinct to protect Titu at whatever cost, makes him feel that she's too good to be true.",India,,,,,1,Comedy,International,,,Movie2018
s938,TV Show,Sons of the Soil : Jaipur Pink Panthers,India,2020,13+,"Documentary, Drama, Sports","As Kabaddi’s popularity explodes across India with the rise of Pro Kabaddi League, Bollywood actor Abhishek Bachchan who owns the PKL team - Jaipur Pink Panthers is determined to go for the winning title after 6 seasons of not being able to make a mark in the league. He gambles on a talented but young and inexperienced group of players in his quest to win season 7 of Kabaddi's biggest competition.",India,,,,,1,Documentary,Drama,Sports,,TV Show2020
s940,Movie,Song One,United States,2015,PG-13,"Arthouse, Arts, Entertainment, and Culture, Drama","Oscar winner Anne Hathaway stars as Franny in this romance set in Brooklyn's indie music scene. After her brother is in an accident, Franny returns home only to fall in love with her brother's musical idol.",United States,,,,,1,Arthouse,Arts,Entertainment and Culture,Drama,Movie2015
s966,TV Show,Sneaky Pete,United States,2019,18+,Drama,Who is Marius Josipovic? Marius himself would like to know. He's feeling a pull toward the Bernhardt family. But he's not part of the family. He's a con-man. The chance to become more like a normal human being is enticing. It also scares him to death. This season all the members of the Sneaky Pete family explore their identity. It’s a dangerous journey. They could lose themselves or their lives.,United States,,,,,1,Drama,,,,TV Show2019
